ID,CustChannel
C1,Green
C2,Green
C3,Green
C4,Green
C5,Green
C6,Green
C7,Green
C8,Green
C9,Green
C10,Green
C11,Green
C12,Green
C13,Green
C14,Green
C15,Green
C16,Green
C17,Green
C18,Green
C19,Green
C20,Green
C21,Green
C22,Green
C23,Green
C24,Green
C25,Green
C26,Green
C27,Green
C28,Green
C29,Green
C30,Green
C31,Green
C32,Green
C33,Green
C34,Green
C35,Green
C36,Green
C37,Green
C38,Green
C39,Green
C40,Green
C41,Green
C42,Green
C43,Green
C44,Green
C45,Green
C46,Green
C47,Green
C48,Green
C49,Green
C50,Green
C51,Green
C52,Green
C53,Green
C54,Green
C55,Green
C56,Green
C57,Green
C58,Green
C59,Green
C60,Green
C61,Green
C62,Green
C63,Green
C64,Green
C65,Green
C66,Green
C67,Green
C68,Green
C69,Green
C70,Green
C71,Red
C72,Green
C73,Green
C74,Green
C75,Green
C76,Green
C77,Green
C78,Green
C79,Green
C80,Green
C81,Green
C82,Green
C83,Green
C84,Green
C85,Green
C86,Red
C87,Green
C88,Green
C89,Red
C90,Green
C91,Green
C92,Green
C93,Green
C94,Green
C95,Green
C96,Green
C97,Green
C98,Green
C99,Green
C100,Green
C101,Green
C102,Green
C103,Green
C104,Green
C105,Green
C106,Green
C107,Green
C108,Green
C109,Green
C110,Green
C111,Green
C112,Green
C113,Green
C114,Green
C115,Green
C116,Green
C117,Green
C118,Green
C119,Green
C120,Green
C121,Green
C122,Green
C123,Green
C124,Green
C125,Green
C126,Green
C127,Green
C128,Green
C129,Green
C130,Green
C131,Green
C132,Green
C133,Green
C134,Green
C135,Green
C136,Green
C137,Green
C138,Green
C139,Green
C140,Green
C141,Green
C142,Green
C143,Green
C144,Green
C145,Green
C146,Green
C147,Green
C148,Green
C149,Green
C150,Green
C151,Green
C152,Green
C153,Green
C154,Green
C155,Green
C156,Green
C157,Green
C158,Green
C159,Green
C160,Green
C161,Green
C162,Green
C163,Green
C164,Green
C165,Green
C166,Green
C167,Green
C168,Green
C169,Green
C170,Green
